Step 48 timings: Total: 1.0322ms, Carnivores: 0.0959ms, Herbivores: 0.6898ms, Plants: 0.2189ms | Threads: 2
Step 49 timings: Total: 0.7274ms, Carnivores: 0.0806ms, Herbivores: 0.4857ms, Plants: 0.1336ms | Threads: 2
Step 50 timings: Total: 0.8479ms, Carnivores: 0.0895ms, Herbivores: 0.5709ms, Plants: 0.1618ms | Threads: 2
Step 51 timings: Total: 0.7854ms, Carnivores: 0.0766ms, Herbivores: 0.5109ms, Plants: 0.1723ms | Threads: 2
Step 52 timings: Total: 1.0144ms, Carnivores: 0.0870ms, Herbivores: 0.7358ms, Plants: 0.1651ms | Threads: 2
Step 53 timings: Total: 0.9878ms, Carnivores: 0.1134ms, Herbivores: 0.7031ms, Plants: 0.1427ms | Threads: 2
Step 54 timings: Total: 0.7950ms, Carnivores: 0.0982ms, Herbivores: 0.5419ms, Plants: 0.1295ms | Threads: 2
Step 55 timings: Total: 0.9084ms, Carnivores: 0.0917ms, Herbivores: 0.6039ms, Plants: 0.1852ms | Threads: 2
Step 56 timings: Total: 1.0448ms, Carnivores: 0.1055ms, Herbivores: 0.7202ms, Plants: 0.1926ms | Threads: 2
Step 57 timings: Total: 0.9354ms, Carnivores: 0.0844ms, Herbivores: 0.6411ms, Plants: 0.1840ms | Threads: 2
Step 58 timings: Total: 1.2452ms, Carnivores: 0.1115ms, Herbivores: 0.9323ms, Plants: 0.1730ms | Threads: 2
Step 59 timings: Total: 1.0353ms, Carnivores: 0.1098ms, Herbivores: 0.6994ms, Plants: 0.1975ms | Threads: 2
Step 60 timings: Total: 0.9868ms, Carnivores: 0.1023ms, Herbivores: 0.6899ms, Plants: 0.1673ms | Threads: 2
Step 61 timings: Total: 1.0092ms, Carnivores: 0.0925ms, Herbivores: 0.7027ms, Plants: 0.1853ms | Threads: 2
Step 62 timings: Total: 0.9967ms, Carnivores: 0.1106ms, Herbivores: 0.7067ms, Plants: 0.1512ms | Threads: 2
Step 63 timings: Total: 0.8317ms, Carnivores: 0.0895ms, Herbivores: 0.5611ms, Plants: 0.1558ms | Threads: 2
Step 64 timings: Total: 0.9704ms, Carnivores: 0.1236ms, Herbivores: 0.6383ms, Plants: 0.1801ms | Threads: 2
Step 65 timings: Total: 0.7631ms, Carnivores: 0.0879ms, Herbivores: 0.5249ms, Plants: 0.1249ms | Threads: 2
Step 66 timings: Total: 1.1266ms, Carnivores: 0.2093ms, Herbivores: 0.7086ms, Plants: 0.1799ms | Threads: 2
Step 67 timings: Total: 0.8100ms, Carnivores: 0.0954ms, Herbivores: 0.5475ms, Plants: 0.1413ms | Threads: 2
Step 68 timings: Total: 0.9142ms, Carnivores: 0.0956ms, Herbivores: 0.5998ms, Plants: 0.1931ms | Threads: 2
Step 69 timings: Total: 0.8379ms, Carnivores: 0.0974ms, Herbivores: 0.5799ms, Plants: 0.1352ms | Threads: 2
Step 70 timings: Total: 0.9379ms, Carnivores: 0.1296ms, Herbivores: 0.6368ms, Plants: 0.1431ms | Threads: 2
Step 71 timings: Total: 1.0120ms, Carnivores: 0.1114ms, Herbivores: 0.7421ms, Plants: 0.1281ms | Threads: 2
Step 72 timings: Total: 0.8415ms, Carnivores: 0.0870ms, Herbivores: 0.6065ms, Plants: 0.1218ms | Threads: 2
Step 73 timings: Total: 0.9047ms, Carnivores: 0.0908ms, Herbivores: 0.6415ms, Plants: 0.1469ms | Threads: 2
Step 74 timings: Total: 0.9912ms, Carnivores: 0.0999ms, Herbivores: 0.5680ms, Plants: 0.1426ms | Threads: 2
Step 75 timings: Total: 1.0189ms, Carnivores: 0.0900ms, Herbivores: 0.7928ms, Plants: 0.1103ms | Threads: 2
Step 76 timings: Total: 0.9650ms, Carnivores: 0.1277ms, Herbivores: 0.6937ms, Plants: 0.1142ms | Threads: 2
Step 77 timings: Total: 0.8568ms, Carnivores: 0.0880ms, Herbivores: 0.6088ms, Plants: 0.1345ms | Threads: 2
Step 78 timings: Total: 0.8814ms, Carnivores: 0.1657ms, Herbivores: 0.5785ms, Plants: 0.1112ms | Threads: 2
Step 79 timings: Total: 0.8165ms, Carnivores: 0.0910ms, Herbivores: 0.4876ms, Plants: 0.2117ms | Threads: 2
Step 80 timings: Total: 0.9063ms, Carnivores: 0.1006ms, Herbivores: 0.6135ms, Plants: 0.1647ms | Threads: 2
Step 81 timings: Total: 0.8342ms, Carnivores: 0.0812ms, Herbivores: 0.5858ms, Plants: 0.1413ms | Threads: 2
Step 82 timings: Total: 1.0112ms, Carnivores: 0.0968ms, Herbivores: 0.7536ms, Plants: 0.1292ms | Threads: 2
Step 83 timings: Total: 0.7476ms, Carnivores: 0.0749ms, Herbivores: 0.5188ms, Plants: 0.1286ms | Threads: 2
Step 84 timings: Total: 0.8533ms, Carnivores: 0.0793ms, Herbivores: 0.6471ms, Plants: 0.1011ms | Threads: 2
Step 85 timings: Total: 0.7662ms, Carnivores: 0.0979ms, Herbivores: 0.5042ms, Plants: 0.1358ms | Threads: 2
Step 86 timings: Total: 0.7582ms, Carnivores: 0.0913ms, Herbivores: 0.4929ms, Plants: 0.1401ms | Threads: 2
Step 87 timings: Total: 0.8141ms, Carnivores: 0.1401ms, Herbivores: 0.5306ms, Plants: 0.1156ms | Threads: 2
Step 88 timings: Total: 0.6985ms, Carnivores: 0.0674ms, Herbivores: 0.4686ms, Plants: 0.1344ms | Threads: 2
Step 89 timings: Total: 0.7303ms, Carnivores: 0.0716ms, Herbivores: 0.5121ms, Plants: 0.1210ms | Threads: 2
Step 90 timings: Total: 0.8254ms, Carnivores: 0.0881ms, Herbivores: 0.5731ms, Plants: 0.1363ms | Threads: 2
Step 91 timings: Total: 0.8351ms, Carnivores: 0.1188ms, Herbivores: 0.5483ms, Plants: 0.1403ms | Threads: 2
Step 92 timings: Total: 0.8053ms, Carnivores: 0.0628ms, Herbivores: 0.6253ms, Plants: 0.0908ms | Threads: 2
Step 93 timings: Total: 0.6774ms, Carnivores: 0.0732ms, Herbivores: 0.4610ms, Plants: 0.1178ms | Threads: 2
Step 94 timings: Total: 0.6809ms, Carnivores: 0.0675ms, Herbivores: 0.4869ms, Plants: 0.1006ms | Threads: 2
Step 95 timings: Total: 0.8803ms, Carnivores: 0.0740ms, Herbivores: 0.6005ms, Plants: 0.1340ms | Threads: 2
Step 96 timings: Total: 0.7876ms, Carnivores: 0.1385ms, Herbivores: 0.5156ms, Plants: 0.1081ms | Threads: 2
Step 97 timings: Total: 0.7264ms, Carnivores: 0.0550ms, Herbivores: 0.5057ms, Plants: 0.1398ms | Threads: 2
Step 98 timings: Total: 0.6771ms, Carnivores: 0.0638ms, Herbivores: 0.4790ms, Plants: 0.1085ms | Threads: 2
Step 99 timings: Total: 0.7510ms, Carnivores: 0.0731ms, Herbivores: 0.4941ms, Plants: 0.1547ms | Threads: 2
Step 100 timings: Total: 0.7942ms, Carnivores: 0.0773ms, Herbivores: 0.5421ms, Plants: 0.1466ms | Threads: 2
Step 101 timings: Total: 0.7969ms, Carnivores: 0.1664ms, Herbivores: 0.4936ms, Plants: 0.1099ms | Threads: 2
Step 102 timings: Total: 0.9138ms, Carnivores: 0.0685ms, Herbivores: 0.4680ms, Plants: 0.3487ms | Threads: 2
Step 103 timings: Total: 0.6303ms, Carnivores: 0.0676ms, Herbivores: 0.4214ms, Plants: 0.1159ms | Threads: 2
Step 104 timings: Total: 0.7282ms, Carnivores: 0.0993ms, Herbivores: 0.4700ms, Plants: 0.1319ms | Threads: 2
Step 105 timings: Total: 0.6938ms, Carnivores: 0.1113ms, Herbivores: 0.4243ms, Plants: 0.1308ms | Threads: 2
Step 106 timings: Total: 0.8463ms, Carnivores: 0.1310ms, Herbivores: 0.5492ms, Plants: 0.1375ms | Threads: 2
Step 107 timings: Total: 0.8858ms, Carnivores: 0.1097ms, Herbivores: 0.4750ms, Plants: 0.1095ms | Threads: 2
Step 108 timings: Total: 0.7658ms, Carnivores: 0.1372ms, Herbivores: 0.4541ms, Plants: 0.1485ms | Threads: 2
Step 109 timings: Total: 0.7663ms, Carnivores: 0.1051ms, Herbivores: 0.5027ms, Plants: 0.1305ms | Threads: 2
Step 110 timings: Total: 0.7623ms, Carnivores: 0.0656ms, Herbivores: 0.5212ms, Plants: 0.1498ms | Threads: 2
Step 111 timings: Total: 0.9665ms, Carnivores: 0.0822ms, Herbivores: 0.7139ms, Plants: 0.1445ms | Threads: 2
Step 112 timings: Total: 0.9479ms, Carnivores: 0.0730ms, Herbivores: 0.6897ms, Plants: 0.1570ms | Threads: 2
Step 113 timings: Total: 0.7736ms, Carnivores: 0.0632ms, Herbivores: 0.5597ms, Plants: 0.1160ms | Threads: 2
Step 114 timings: Total: 0.9213ms, Carnivores: 0.0623ms, Herbivores: 0.6922ms, Plants: 0.1388ms | Threads: 2
Step 115 timings: Total: 0.9515ms, Carnivores: 0.0771ms, Herbivores: 0.6951ms, Plants: 0.1515ms | Threads: 2
Step 116 timings: Total: 1.0137ms, Carnivores: 0.0630ms, Herbivores: 0.7744ms, Plants: 0.1491ms | Threads: 2
Step 117 timings: Total: 1.0679ms, Carnivores: 0.0860ms, Herbivores: 0.8262ms, Plants: 0.1271ms | Threads: 2
Step 118 timings: Total: 0.7645ms, Carnivores: 0.0372ms, Herbivores: 0.5559ms, Plants: 0.1437ms | Threads: 2
Step 119 timings: Total: 0.6643ms, Carnivores: 0.0699ms, Herbivores: 0.4376ms, Plants: 0.1315ms | Threads: 2
